Trienio,Semestre,Curso,Min,Max,Media,N
2021-2023,1º,ARQUIVOLOGIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-55.63,-13.001,-36.353,7
2021-2023,1º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),4.851,24.387,14.018,4
2021-2023,1º,ARTES VISUAIS (BACHARELADO)* - DARCY RIBEIRO (DIURNO),-17.763,47.739,15.44,13
2021-2023,1º,BIBLIOTECONOMIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-99.731,28.164,-38.979,14
2021-2023,1º,BIOTECNOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),60.904,132.613,93.36,13
2021-2023,1º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),142.133,188.751,154.967,15
2021-2023,1º,CIÊNCIA POLÍTICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),47.383,76.944,58.972,12
2021-2023,1º,CIÊNCIAS AMBIENTAIS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-51.442,9.203,-35.451,6
2021-2023,1º,CIÊNCIAS BIOLÓGICAS (BACHARELADO) - DARCY RIBEIRO (DIURNO),79.249,139.272,102.205,13
2021-2023,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO) - DARCY RIBEIRO (DIURNO),-3.138,74.209,22.593,27
2021-2023,1º,CIÊNCIAS CONTÁBEIS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-69.227,45.134,-23.407,10
2021-2023,1º,CIÊNCIAS ECONÔMICAS (BACHARELADO) - DARCY RIBEIRO (DIURNO),88.437,150.5,106.813,18
2021-2023,1º,CIÊNCIAS NATURAIS (LICENCIATURA) - UNB PLANALTINA (FUP),-85.11,9.258,-37.733,8
2021-2023,1º,CIÊNCIAS SOCIAIS - ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-19.3,73.106,11.992,34
2021-2023,1º,COMPUTAÇÃO (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),-42.998,71.725,6.445,22
2021-2023,1º,COMUNICAÇÃO ORGANIZACIONAL (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-77.466,57.848,-6.009,20
2021-2023,1º,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),56.245,103.109,71.22,6
2021-2023,1º,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO) - DARCY RIBEIRO (DIURNO),67.927,79.509,72.216,5
2021-2023,1º,DESIGN - PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO) - DARCY RIBEIRO (DIURNO),57.384,107.697,81.682,6
2021-2023,1º,DIREITO (BACHARELADO) - DARCY RIBEIRO (DIURNO),116.335,173.239,138.434,18
2021-2023,1º,DIREITO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),100.214,131.453,113.129,15
2021-2023,1º,EDUCAÇÃO FÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),15.322,78.06,33.713,12
2021-2023,1º,EDUCAÇÃO FÍSICA (LICENCIATURA) - DARCY RIBEIRO (DIURNO),-23.616,39.102,0.325,15
2021-2023,1º,ENFERMAGEM (BACHARELADO) - DARCY RIBEIRO (DIURNO),46.302,128.899,70.423,15
2021-2023,1º,ENFERMAGEM (BACHARELADO) - DARCY RIBEIRO (NOTURNO),36.848,65.958,47.629,12
2021-2023,1º,ENGENHARIA AMBIENTAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),-20.516,67.115,24.143,21
2021-2023,1º,ENGENHARIA CIVIL (BACHARELADO) - DARCY RIBEIRO (DIURNO),56.995,120.301,73.143,15
2021-2023,1º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),112.925,156.459,126.039,12
2021-2023,1º,ENGENHARIA DE PRODUÇÃO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-75.749,104.096,29.638,22
2021-2023,1º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),11.369,61.652,28.636,13
2021-2023,1º,ENGENHARIA ELÉTRICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),82.499,156.3,117.232,17
2021-2023,1º,ENGENHARIA FLORESTAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),-53.021,42.301,-9.659,7
2021-2023,1º,ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),1.84,156.247,81.481,21
2021-2023,1º,ENGENHARIA MECÂNICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),48.882,136.666,88.459,18
2021-2023,1º,ENGENHARIA QUÍMICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),41.337,136.761,76.816,20
2021-2023,1º,ESTATÍSTICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),10.746,136.549,52.612,23
2021-2023,1º,FARMÁCIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),61.479,148.69,87.73,13
2021-2023,1º,FARMÁCIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),1.36,88.621,24.888,24
2021-2023,1º,FILOSOFIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-46.731,34.653,-12.396,14
2021-2023,1º,FISIOTERAPIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),21.889,79.217,39.488,16
2021-2023,1º,FONOAUDIOLOGIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),11.271,64.645,30.293,10
2021-2023,1º,FÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-30.858,141.578,31.362,14
2021-2023,1º,GEOFÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-47.521,-2.055,-19.997,6
2021-2023,1º,GEOGRAFIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-53.956,44.373,-13.344,16
2021-2023,1º,GEOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-69.169,97.846,-10.314,14
2021-2023,1º,GESTÃO DE AGRONEGÓCIO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-83.888,-27.976,-55.638,8
2021-2023,1º,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-50.388,89.961,-10.923,24
2021-2023,1º,HISTÓRIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),27.072,120.935,59.154,13
2021-2023,1º,HISTÓRIA (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),-69.357,12.295,-23.945,8
2021-2023,1º,JORNALISMO (BACHARELADO) - DARCY RIBEIRO (DIURNO),54.785,130.233,93.063,7
2021-2023,1º,LETRAS - PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA (LICENCIATURA) - DARCY RIBEIRO (DIURNO),-49.96,58.052,-7.274,7
2021-2023,1º,LETRAS - TRADUÇÃO - FRANCÊS (BACHARELADO) - DARCY RIBEIRO (DIURNO),-27.088,108.22,40.566,2
2021-2023,1º,LETRAS - TRADUÇÃO - INGLÊS (BACHARELADO) - DARCY RIBEIRO (DIURNO),-22.54,26.575,1.784,6
2021-2023,1º,LETRAS - TRADUÇÃO ESPANHOL (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-56.295,-56.295,-56.295,1
2021-2023,1º,LICENCIATURA EM ARTES CÊNICAS - DARCY RIBEIRO (DIURNO),-1.077,21.881,11.29,5
2021-2023,1º,LICENCIATURA EM ARTES CÊNICAS - DARCY RIBEIRO (NOTURNO),25.467,25.467,25.467,1
2021-2023,1º,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS - DARCY RIBEIRO (NOTURNO),-26.626,67.671,10.312,18
2021-2023,1º,LICENCIATURA EM FÍSICA - DARCY RIBEIRO (NOTURNO),55.585,55.585,55.585,1
2021-2023,1º,LICENCIATURA EM MATEMÁTICA - DARCY RIBEIRO (NOTURNO),-73.474,22.858,-27.23,6
2021-2023,1º,LICENCIATURA EM QUÍMICA - DARCY RIBEIRO (NOTURNO),-21.346,1.634,-8.994,4
2021-2023,1º,LÍNGUA E LITERATURA JAPONESA (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),-5.043,-5.043,-5.043,1
2021-2023,1º,LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),-13.667,-13.667,-13.667,1
2021-2023,1º,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),25.592,72.62,47.821,5
2021-2023,1º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),23.995,82.448,57.818,9
2021-2023,1º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),-46.157,-9.045,-29.121,4
2021-2023,1º,MATEMÁTICA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-3.905,75.036,27.612,9
2021-2023,1º,MEDICINA (BACHARELADO) - DARCY RIBEIRO (DIURNO),171.43,211.738,187.068,13
2021-2023,1º,MEDICINA VETERINÁRIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),69.156,127.484,97.9,12
2021-2023,1º,MUSEOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-59.957,11.393,-30.12,8
2021-2023,1º,MÚSICA (BACHARELADO)* - DARCY RIBEIRO (DIURNO),-23.394,-23.394,-23.394,1
2021-2023,1º,MÚSICA (LICENCIATURA)* - DARCY RIBEIRO (DIURNO),-41.36,25.412,-7.495,4
2021-2023,1º,NUTRIÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),61.439,101.845,77.944,11
2021-2023,1º,ODONTOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),87.346,104.035,95.605,8
2021-2023,1º,PEDAGOGIA (LICENCIATURA) - DARCY RIBEIRO (DIURNO),-17.402,60.661,2.013,23
2021-2023,1º,PEDAGOGIA (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),-92.426,5.534,-49.682,18
2021-2023,1º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO) - DARCY RIBEIRO (DIURNO),73.691,139.15,101.928,15
2021-2023,1º,QUÍMICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),19.074,108.78,54.966,14
2021-2023,1º,QUÍMICA TECNOLÓGICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-67.895,53.064,1.323,9
2021-2023,1º,RELAÇÕES INTERNACIONAIS (BACHARELADO) - DARCY RIBEIRO (DIURNO),86.919,138.473,104.216,15
2021-2023,1º,SAÚDE COLETIVA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-79.717,25.273,-35.737,22
2021-2023,1º,SERVIÇO SOCIAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),-38.817,26.034,-10.708,14
2021-2023,1º,SERVIÇO SOCIAL (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-69.15,1.997,-25.112,8
2021-2023,1º,"TEORIA, CRÍTICA E HISTÓRIA DA ARTE (BACHARELADO) - DARCY RIBEIRO (NOTURNO)",-56.171,25.563,-23.839,3
2021-2023,1º,TERAPIA OCUPACIONAL (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-15.863,37.633,1.322,14
2021-2023,1º,TURISMO (BACHARELADO) - DARCY RIBEIRO (DIURNO),-95.121,-32.42,-57.923,6
2021-2023,2º,(BACHARELADOS)** - DARCY RIBEIRO (NOTURNO),10.083,52.485,29.85,136
2021-2023,2º,ADMINISTRAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),-20.512,26.113,-0.631,39
2021-2023,2º,ADMINISTRAÇÃO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-88.215,-37.583,-63.105,11
2021-2023,2º,AGRONOMIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-100.363,-20.978,-47.32,34
2021-2023,2º,ARQUITETURA E URBANISMO (BACHARELADO) - DARCY RIBEIRO (DIURNO),69.158,82.385,76.802,9
2021-2023,2º,ARQUITETURA E URBANISMO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),6.657,53.512,32.548,17
2021-2023,2º,ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),1.365,4.282,2.824,2
2021-2023,2º,ARTES VISUAIS (BACHARELADO)* - DARCY RIBEIRO (DIURNO),-44.725,-23.129,-33.927,2
2021-2023,2º,ARTES VISUAIS (LICENCIATURA)* - DARCY RIBEIRO (DIURNO),11.447,38.274,24.339,5
2021-2023,2º,BIOTECNOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),7.918,60.319,36.93,27
2021-2023,2º,CIÊNCIA DA COMPUTAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),110.944,141.414,127.835,14
2021-2023,2º,CIÊNCIA POLÍTICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),10.242,46.242,27.753,28
2021-2023,2º,CIÊNCIAS BIOLÓGICAS (BACHARELADO) - DARCY RIBEIRO (DIURNO),50.493,78.168,61.233,16
2021-2023,2º,CIÊNCIAS CONTÁBEIS (BACHARELADO) - DARCY RIBEIRO (DIURNO),-67.47,-6.679,-31.1,19
2021-2023,2º,CIÊNCIAS ECONÔMICAS (BACHARELADO) - DARCY RIBEIRO (DIURNO),35.727,80.086,60.663,29
2021-2023,2º,CIÊNCIAS SOCIAIS - ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-65.269,-19.402,-38.417,13
2021-2023,2º,COMPUTAÇÃO (LICENCIATURA) - DARCY RIBEIRO (NOTURNO),-94.831,-46.621,-63.942,6
2021-2023,2º,COMUNICAÇÃO SOCIAL - AUDIOVISUAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),17.84,53.676,35.293,13
2021-2023,2º,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO) - DARCY RIBEIRO (DIURNO),52.618,67.666,59.031,5
2021-2023,2º,DESIGN - PROGRAMAÇÃO VISUAL/PROJETO DO PRODUTO (BACHARELADO) - DARCY RIBEIRO (DIURNO),28.563,52.957,38.647,9
2021-2023,2º,DIREITO (BACHARELADO) - DARCY RIBEIRO (DIURNO),85.158,115.854,104.572,20
2021-2023,2º,DIREITO (BACHARELADO) - DARCY RIBEIRO (NOTURNO),84.623,100.151,91.219,17
2021-2023,2º,DIREITO (BACHARELADO) - SUB JUDICE - DARCY RIBEIRO (DIURNO),101.589,101.589,101.589,1
2021-2023,2º,EDUCAÇÃO FÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-11.349,9.882,-2.011,16
2021-2023,2º,EDUCAÇÃO FÍSICA (LICENCIATURA) - DARCY RIBEIRO (DIURNO),-88.991,-23.948,-55.097,35
2021-2023,2º,ENFERMAGEM (BACHARELADO) - DARCY RIBEIRO (DIURNO),17.036,44.558,29.819,23
2021-2023,2º,ENFERMAGEM (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-6.108,36.588,19.044,24
2021-2023,2º,ENGENHARIA AMBIENTAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),-79.088,-30.857,-44.426,9
2021-2023,2º,ENGENHARIA CIVIL (BACHARELADO) - DARCY RIBEIRO (DIURNO),-7.884,54.918,18.499,26
2021-2023,2º,ENGENHARIA DE COMPUTAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),91.375,112.895,104.085,14
2021-2023,2º,ENGENHARIA DE REDES DE COMUNICAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),-72.97,11.19,-23.253,28
2021-2023,2º,ENGENHARIA ELÉTRICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-74.806,80.518,10.643,23
2021-2023,2º,ENGENHARIA MECATRÔNICA - CONTROLE E AUTOMAÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),-34.629,1.537,-17.536,9
2021-2023,2º,ENGENHARIA MECÂNICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-39.855,47.096,1.306,27
2021-2023,2º,ENGENHARIA QUÍMICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-81.964,40.261,0.527,15
2021-2023,2º,ESTATÍSTICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-40.807,7.906,-13.55,11
2021-2023,2º,FARMÁCIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),27.284,61.155,45.329,14
2021-2023,2º,FARMÁCIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-85.931,1.418,-32.684,40
2021-2023,2º,FISIOTERAPIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-4.271,21.825,7.875,24
2021-2023,2º,FONOAUDIOLOGIA (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-55.494,11.061,-23.415,23
2021-2023,2º,FÍSICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-87.854,-37.874,-60.489,3
2021-2023,2º,GESTÃO DE POLÍTICAS PÚBLICAS (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-67.745,-51.05,-59.616,9
2021-2023,2º,HISTÓRIA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-5.739,26.487,13.376,14
2021-2023,2º,JORNALISMO (BACHARELADO) - DARCY RIBEIRO (DIURNO),47.009,52.439,49.284,4
2021-2023,2º,LETRAS - TRADUÇÃO - INGLÊS (BACHARELADO) - DARCY RIBEIRO (DIURNO),-66.268,-32.299,-52.192,6
2021-2023,2º,LICENCIATURA EM ARTES CÊNICAS - DARCY RIBEIRO (DIURNO),-55.872,-37.271,-44.863,3
2021-2023,2º,LICENCIATURA EM CIÊNCIAS BIOLÓGICAS - DARCY RIBEIRO (NOTURNO),-65.371,-39.245,-50.95,4
2021-2023,2º,LÍNGUA INGLESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-25.787,23.225,-7.667,11
2021-2023,2º,LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-51.33,17.112,-13.121,15
2021-2023,2º,MATEMÁTICA (BACHARELADO/LICENCIATURA) - DARCY RIBEIRO (DIURNO),-63.515,-9.985,-31.098,10
2021-2023,2º,MEDICINA (BACHARELADO) - DARCY RIBEIRO (DIURNO),158.96,170.679,164.629,9
2021-2023,2º,MEDICINA VETERINÁRIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),44.306,68.461,56.84,15
2021-2023,2º,NUTRIÇÃO (BACHARELADO) - DARCY RIBEIRO (DIURNO),29.529,55.641,42.251,13
2021-2023,2º,ODONTOLOGIA (BACHARELADO) - DARCY RIBEIRO (DIURNO),58.754,80.528,69.539,9
2021-2023,2º,PEDAGOGIA (LICENCIATURA) - DARCY RIBEIRO (DIURNO),-78.28,-17.829,-46.408,43
2021-2023,2º,PSICOLOGIA (BACHARELADO / LICENCIATURA / PSICÓLOGO) - DARCY RIBEIRO (DIURNO),62.542,110.601,76.243,20
2021-2023,2º,QUÍMICA (BACHARELADO) - DARCY RIBEIRO (DIURNO),-51.459,18.948,-3.256,20
2021-2023,2º,RELAÇÕES INTERNACIONAIS (BACHARELADO) - DARCY RIBEIRO (DIURNO),72.89,86.65,79.241,13
2021-2023,2º,SERVIÇO SOCIAL (BACHARELADO) - DARCY RIBEIRO (DIURNO),-77.837,-41.881,-59.232,5
2021-2023,2º,TERAPIA OCUPACIONAL (BACHARELADO) - DARCY RIBEIRO (NOTURNO),-95.544,-18.97,-49.971,41
2020-2022,1º,(BACHARELADO),-32.749,50.344,8.088,6
2020-2022,1º,(BACHARELADOS)**,27.893,178.331,61.169,104
2020-2022,1º,(BACHARELADOS)**  SUB JUDICE,76.506,76.506,76.506,1
2020-2022,1º,ADMINISTRACAO (BACHARELADO),-55.6,98.219,17.515,60
2020-2022,1º,AGRONOMIA (BACHARELADO),-31.687,104.416,6.606,42
2020-2022,1º,ARQUITETURA E URBANISMO (BACHARELADO),38.496,121.99,74.6,24
2020-2022,1º,ARQUIVOLOGIA (BACHARELADO),-82.039,32.901,-37.965,5
2020-2022,1º,ARTES CENICAS - INTERPRETACAO TEATRAL (BACHARELADO) *,-35.525,24.93,-7.676,4
2020-2022,1º,ARTES VISUAIS (BACHARELADO)*,-12.106,58.914,20.906,8
2020-2022,1º,ARTES VISUAIS (LICENCIATURA)*,-90.01,54.376,-15.362,6
2020-2022,1º,BIBLIOTECONOMIA (BACHARELADO),-69.572,-22.639,-49.103,8
2020-2022,1º,BIOTECNOLOGIA (BACHARELADO),29.906,141.975,64.377,17
2020-2022,1º,CIENCIA DA COMPUTACAO (BACHARELADO),128.099,168.535,144.8,13
2020-2022,1º,CIENCIA POLITICA (BACHARELADO),43.387,111.048,58.69,17
2020-2022,1º,CIENCIAS AMBIENTAIS (BACHARELADO),-88.634,18.579,-24.691,6
2020-2022,1º,CIENCIAS BIOLOGICAS (BACHARELADO),58.673,174.618,90.905,12
2020-2022,1º,CIENCIAS CONTABEIS (BACHARELADO),-64.695,84.034,-1.063,50
2020-2022,1º,CIENCIAS ECONOMICAS (BACHARELADO),76.331,149.64,104.419,19
2020-2022,1º,CIENCIAS NATURAIS (LICENCIATURA),-71.509,21.657,-33.042,10
2020-2022,1º,CIENCIAS SOCIAIS  ANTROPOLOGIA / SOCIOLOGIA (BACHARELADO/LICENCIATURA),-36.059,71.472,4.8,38
2020-2022,1º,COMPUTACAO (LICENCIATURA),-18.407,74.983,25.388,13
2020-2022,1º,COMUNICACAO ORGANIZACIONAL (BACHARELADO),-32.939,42.588,-0.253,17
2020-2022,1º,COMUNICACAO SOCIAL  AUDIOVISUAL (BACHARELADO),76.709,175.444,100.484,6
2020-2022,1º,COMUNICACAO SOCIAL  PUBLICIDADE E PROPAGANDA (BACHARELADO),62.484,120.186,82.248,4
2020-2022,1º,COMUNICACAO SOCIAL - PUBLICIDADE E PROPAGANDA (BACHARELADO),62.384,62.384,62.384,1
2020-2022,1º,DESIGN  PROGRAMACAO VISUAL/PROJETO DO PRODUTO (BACHARELADO),77.335,108.078,87.048,5
2020-2022,1º,DIREITO (BACHARELADO),45.852,176.907,116.905,37
2020-2022,1º,EDUCACAO FISICA (BACHARELADO),6.887,53.752,21.74,15
2020-2022,1º,EDUCACAO FISICA (LICENCIATURA),-19.858,20.985,-0.838,12
2020-2022,1º,ENFERMAGEM (BACHARELADO),24.977,77.432,46.745,30
2020-2022,1º,ENGENHARIA AMBIENTAL (BACHARELADO),-62.13,139.431,8.28,21
2020-2022,1º,ENGENHARIA CIVIL (BACHARELADO),-31.687,126.978,28.034,14
2020-2022,1º,ENGENHARIA DE COMPUTACAO (BACHARELADO),112.278,160.318,130.952,11
2020-2022,1º,ENGENHARIA DE PRODUCAO (BACHARELADO),-52.588,159.558,51.365,32
2020-2022,1º,ENGENHARIA DE REDES DE COMUNICACAO (BACHARELADO),-41.733,84.551,1.2,17
2020-2022,1º,ENGENHARIA ELETRICA (BACHARELADO),-27.726,163.248,41.238,18
2020-2022,1º,ENGENHARIA FLORESTAL (BACHARELADO),-50.298,54.606,-0.609,12
2020-2022,1º,ENGENHARIA MECANICA (BACHARELADO),-33.846,154.863,52.813,21
2020-2022,1º,ENGENHARIA MECATRONICA  CONTROLE E AUTOMACAO (BACHARELADO),88.81,162.86,117.66,16
2020-2022,1º,ENGENHARIA QUIMICA (BACHARELADO),-20.255,108.454,45.945,19
